session_id,date_time,source_ip,source_port,destination_ip,destination_port,bytes,packages_count
64210550153181.0,2022-04-20 15:03:27.404,10.174.174.236,52263,10.253.252.11,9400,523,5
64210550153181.0,2022-04-20 15:03:27.405,10.253.252.11,9400,10.174.174.236,52263,1523,3
64210550153181.0,2022-04-20 15:05:07.482,10.174.174.236,52263,10.253.252.11,9400,40,2
64210550153181.0,2022-04-20 15:05:07.482,10.253.252.11,9400,10.174.174.236,52263,20,1
64210550153181.0,2022-04-20 15:05:27.734,10.174.174.236,52302,10.253.252.11,9400,503,4
64210550153181.0,2022-04-20 15:05:27.734,10.253.252.11,9400,10.174.174.236,52302,1523,3
64210550153181.0,2022-04-20 15:07:07.810,10.174.174.236,52302,10.253.252.11,9400,40,2
64210550153181.0,2022-04-20 15:07:07.810,10.253.252.11,9400,10.174.174.236,52302,20,1
64210550153181.0,2022-04-20 15:07:28.110,10.174.174.236,52347,10.253.252.11,9400,503,4
64210550153181.0,2022-04-20 15:07:28.110,10.253.252.11,9400,10.174.174.236,52347,1523,3
64210550153181.0,2022-04-20 15:09:08.194,10.174.174.236,52347,10.253.252.11,9400,40,2
64210550153181.0,2022-04-20 15:09:08.194,10.253.252.11,9400,10.174.174.236,52347,20,1
64210550153181.0,2022-04-20 15:09:28.456,10.174.174.236,52392,10.253.252.11,9400,1568,8
64210550153181.0,2022-04-20 15:09:28.456,10.253.252.11,9400,10.174.174.236,52392,2345,7
64210550153181.0,2022-04-20 15:11:28.876,10.174.174.236,52392,10.253.252.11,9400,427,2
64210550153181.0,2022-04-20 15:11:28.877,10.253.252.11,9400,10.174.174.236,52392,1491,2
64210550153181.0,2022-04-20 15:13:08.918,10.174.174.236,52392,10.253.252.11,9400,40,2
64210550153181.0,2022-04-20 15:13:08.918,10.253.252.11,9400,10.174.174.236,52392,20,1
64210550153181.0,2022-04-20 15:13:29.221,10.174.174.236,52493,10.253.252.11,9400,503,4
64210550153181.0,2022-04-20 15:13:29.222,10.253.252.11,9400,10.174.174.236,52493,1523,3
64210550153181.0,2022-04-20 15:15:07.219,10.174.174.236,52521,10.253.252.11,9400,8277,10
